Date,id,T,U,Po,P,Ff,DD,Td,lat,lon,h,name,U10M,V10M
2012-10-20 18:00:00,71501,-3.6,96.0,1030.3152631578948,1030.5819078947368,5.0,315.0,-4.1,69.56666666666666,-138.91666666666666,1.0,о.Хершел,3.535533905932738,-3.535533905932737
2012-10-21 00:00:00,71501,-2.8,94.0,1032.4484210526316,1032.7150657894738,4.0,315.0,-3.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,2.8284271247461907,-2.8284271247461894
2012-10-21 06:00:00,71501,-10.3,92.0,1033.781644736842,1033.9149671052633,1.0,337.5,-11.4,69.56666666666666,-138.91666666666666,1.0,о.Хершел,0.3826834323650896,-0.9238795325112868
2012-10-21 12:00:00,71501,-12.6,90.0,1033.1150328947367,1033.248355263158,2.0,67.5,-13.9,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-1.8477590650225733,-0.7653668647301797
2012-10-21 18:00:00,71501,-7.8,75.0,1032.8483881578948,1032.9817105263155,2.0,315.0,-11.4,69.56666666666666,-138.91666666666666,1.0,о.Хершел,1.4142135623730954,-1.4142135623730947
2012-10-22 00:00:00,71501,-8.5,66.0,1030.7152302631578,1030.848552631579,1.0,292.5,-13.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,0.9238795325112866,-0.38268343236509
2012-10-22 06:00:00,71501,-12.1,88.0,1028.44875,1028.582072368421,0.0,0.0,-13.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,,
2012-10-22 12:00:00,71501,-7.9,92.0,1026.3155921052632,1026.5822368421052,1.0,45.0,-9.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.7071067811865475,-0.7071067811865476
2012-10-22 18:00:00,71501,-10.2,82.0,1027.1155263157896,1027.3821710526317,1.0,315.0,-12.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,0.7071067811865477,-0.7071067811865474
2012-10-23 00:00:00,71501,-7.2,70.0,1028.582072368421,1028.8487171052632,1.0,315.0,-11.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,0.7071067811865477,-0.7071067811865474
2012-10-23 06:00:00,71501,-9.2,87.0,1031.381842105263,1031.6484868421053,3.0,292.5,-11.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,2.7716385975338595,-1.14805029709527
2012-10-23 12:00:00,71501,-13.3,76.0,1033.781644736842,1033.9149671052633,0.0,,-16.6,69.56666666666666,-138.91666666666666,1.0,о.Хершел,,
2012-10-23 18:00:00,71501,-5.8,85.0,1035.7814802631578,1036.048125,2.0,270.0,-7.9,69.56666666666666,-138.91666666666666,1.0,о.Хершел,2.0,3.673940397442059e-16
2012-10-24 00:00:00,71501,-5.3,72.0,1037.6479934210527,1037.7813157894736,2.0,292.5,-9.6,69.56666666666666,-138.91666666666666,1.0,о.Хершел,1.8477590650225733,-0.76536686473018
2012-10-24 06:00:00,71501,-1.4,94.0,1038.8478947368421,1038.981217105263,6.0,315.0,-2.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,4.242640687119286,-4.242640687119284
2012-10-24 12:00:00,71501,-0.8,92.0,1040.3144407894738,1040.4477631578948,8.0,337.5,-2.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,3.0614674589207165,-7.391036260090295
2012-10-24 18:00:00,71501,-1.8,94.0,1041.9143092105262,1042.0476315789474,7.0,292.5,-2.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,6.467156727579006,-2.67878402655563
2012-10-25 00:00:00,71501,-1.6,92.0,1042.0476315789474,1042.1809539473684,5.0,292.5,-2.8,69.56666666666666,-138.91666666666666,1.0,о.Хершел,4.619397662556434,-1.91341716182545
2012-10-25 06:00:00,71501,-2.8,85.0,1040.4477631578948,1040.7144078947367,2.0,270.0,-4.9,69.56666666666666,-138.91666666666666,1.0,о.Хершел,2.0,3.673940397442059e-16
2012-10-25 12:00:00,71501,-4.3,83.0,1036.8480592105263,1036.9813815789473,2.0,180.0,-6.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-2.4492935982947064e-16,2.0
2012-10-25 18:00:00,71501,-11.2,90.0,1032.9817105263155,1033.1150328947367,0.0,337.5,-12.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,,
2012-10-26 00:00:00,71501,-3.7,78.0,1030.1819407894736,1030.4485855263158,2.0,247.5,-6.9,69.56666666666666,-138.91666666666666,1.0,о.Хершел,1.8477590650225737,0.765366864730179
2012-10-26 06:00:00,71501,-3.6,89.0,1028.315427631579,1028.44875,6.0,270.0,-5.1,69.56666666666666,-138.91666666666666,1.0,о.Хершел,6.0,1.102182119232618e-15
2012-10-26 12:00:00,71501,-3.9,93.0,1027.3821710526317,1027.6488157894735,6.0,270.0,-4.9,69.56666666666666,-138.91666666666666,1.0,о.Хершел,6.0,1.102182119232618e-15
2012-10-26 18:00:00,71501,-1.0,96.0,1026.5822368421052,1026.8488815789474,6.0,292.5,-1.6,69.56666666666666,-138.91666666666666,1.0,о.Хершел,5.543277195067719,-2.29610059419054
2012-10-27 00:00:00,71501,-1.1,96.0,1025.648980263158,1025.782302631579,9.0,292.5,-1.6,69.56666666666666,-138.91666666666666,1.0,о.Хершел,8.31491579260158,-3.44415089128581
2012-10-27 06:00:00,71501,-1.5,96.0,1024.1824342105265,1024.4490789473682,7.0,315.0,-2.1,69.56666666666666,-138.91666666666666,1.0,о.Хершел,4.949747468305834,-4.949747468305832
2012-10-27 12:00:00,71501,-2.0,94.0,1023.3825,1023.649144736842,3.0,315.0,-2.8,69.56666666666666,-138.91666666666666,1.0,о.Хершел,2.121320343559643,-2.121320343559642
2012-10-27 18:00:00,71501,-2.3,95.0,1021.2493421052632,1021.3826644736844,4.0,270.0,-3.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,4.0,7.34788079488412e-16
2012-10-28 00:00:00,71501,-2.0,96.0,1016.4497368421053,1016.7163815789473,6.0,292.5,-2.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,5.543277195067719,-2.29610059419054
2012-10-28 06:00:00,71501,-1.0,99.0,1011.5168092105264,1011.6501315789475,8.0,292.5,-1.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,7.391036260090293,-3.06146745892072
2012-10-28 11:00:00,71501,-1.6,99.0,1012.9833552631578,1013.1166776315787,15.0,315.0,-1.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,10.606601717798217,-10.60660171779821
2012-10-28 17:00:00,71501,-2.8,98.0,1015.649802631579,1015.916447368421,15.0,315.0,-3.1,69.56666666666666,-138.91666666666666,1.0,о.Хершел,10.606601717798217,-10.60660171779821
2012-10-28 23:00:00,71501,-3.8,97.0,1017.3829934210527,1017.6496381578947,13.0,292.5,-4.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,12.010433922646726,-4.974884620746169
2012-10-29 05:00:00,71501,-4.1,94.0,1016.049769736842,1016.1830921052632,10.0,292.5,-4.9,69.56666666666666,-138.91666666666666,1.0,о.Хершел,9.238795325112868,-3.8268343236509
2012-10-29 11:00:00,71501,-3.9,92.0,1013.25,1013.3833223684213,6.0,247.5,-5.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,5.543277195067722,2.2961005941905372
2012-10-29 17:00:00,71501,-3.9,94.0,1011.3834868421053,1011.6501315789475,9.0,292.5,-4.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,8.31491579260158,-3.44415089128581
2012-10-29 23:00:00,71501,-4.1,88.0,1012.8500328947368,1012.9833552631578,7.0,292.5,-5.8,69.56666666666666,-138.91666666666666,1.0,о.Хершел,6.467156727579006,-2.67878402655563
2012-10-30 05:00:00,71501,-4.9,89.0,1014.0499342105264,1014.1832565789473,10.0,292.5,-6.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,9.238795325112868,-3.8268343236509
2012-10-30 11:00:00,71501,-4.5,87.0,1015.516480263158,1015.649802631579,13.0,315.0,-6.4,69.56666666666666,-138.91666666666666,1.0,о.Хершел,9.19238815542512,-9.192388155425117
2012-10-30 17:00:00,71501,-4.7,88.0,1017.2496710526317,1017.5163157894738,14.0,315.0,-6.4,69.56666666666666,-138.91666666666666,1.0,о.Хершел,9.899494936611667,-9.899494936611664
2012-10-30 23:00:00,71501,-4.0,88.0,1018.8495394736842,1019.1161842105264,10.0,292.5,-5.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,9.238795325112868,-3.8268343236509
2012-10-31 05:00:00,71501,-4.2,90.0,1019.7827960526317,1020.0494407894736,9.0,292.5,-5.6,69.56666666666666,-138.91666666666666,1.0,о.Хершел,8.31491579260158,-3.44415089128581
2012-10-31 11:00:00,71501,-3.3,80.0,1021.7826315789473,1022.0492763157896,6.0,0.0,-6.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.0,-6.0
2012-10-31 17:00:00,71501,-2.8,92.0,1022.4492434210525,1022.5825657894736,8.0,45.0,-3.9,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-5.65685424949238,-5.656854249492381
2012-10-31 23:00:00,71501,-5.3,95.0,1025.2490131578948,1025.3823355263155,11.0,45.0,-6.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-7.7781745930520225,-7.7781745930520225
2012-11-01 05:00:00,71501,-5.6,73.0,1026.9822039473684,1027.2488486842103,6.0,22.5,-9.6,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-2.2961005941905386,-5.543277195067719
2012-11-01 11:00:00,71501,-6.0,76.0,1027.1155263157896,1027.3821710526317,4.0,337.5,-9.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,1.5307337294603582,-3.6955181300451474
2012-11-01 17:00:00,71501,-6.8,73.0,1024.9823684210526,1025.1156907894738,9.0,292.5,-10.9,69.56666666666666,-138.91666666666666,1.0,о.Хершел,8.31491579260158,-3.44415089128581
2012-11-01 23:00:00,71501,-8.8,73.0,1021.9159539473683,1022.0492763157896,7.0,270.0,-12.8,69.56666666666666,-138.91666666666666,1.0,о.Хершел,7.0,1.2858791391047206e-15
2012-11-02 05:00:00,71501,-9.3,72.0,1017.7829605263156,1017.9162828947368,5.0,270.0,-13.4,69.56666666666666,-138.91666666666666,1.0,о.Хершел,5.0,9.18485099360515e-16
2012-11-02 11:00:00,71501,-6.9,64.0,1015.1165131578947,1015.3831578947368,4.0,247.5,-12.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,3.6955181300451474,1.530733729460358
2012-11-02 17:00:00,71501,-5.5,88.0,1014.4499013157896,1014.5832236842107,8.0,0.0,-7.1,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.0,-8.0
2012-11-02 23:00:00,71501,-7.4,89.0,1016.1830921052632,1016.4497368421053,7.0,315.0,-8.9,69.56666666666666,-138.91666666666666,1.0,о.Хершел,4.949747468305834,-4.949747468305832
2012-11-03 05:00:00,71501,-8.5,93.0,1017.1163486842104,1017.2496710526317,8.0,337.5,-9.4,69.56666666666666,-138.91666666666666,1.0,о.Хершел,3.0614674589207165,-7.391036260090295
2012-11-03 11:00:00,71501,-8.4,84.0,1017.2496710526317,1017.3829934210527,7.0,337.5,-10.6,69.56666666666666,-138.91666666666666,1.0,о.Хершел,2.678784026555627,-6.467156727579009
2012-11-03 17:00:00,71501,-8.9,69.0,1018.31625,1018.582894736842,7.0,0.0,-13.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.0,-7.0
2012-11-03 23:00:00,71501,-10.5,92.0,1018.8495394736842,1018.9828618421053,10.0,292.5,-11.6,69.56666666666666,-138.91666666666666,1.0,о.Хершел,9.238795325112868,-3.8268343236509
2012-11-04 05:00:00,71501,-10.3,92.0,1019.2495065789475,1019.3828289473684,11.0,292.5,-11.4,69.56666666666666,-138.91666666666666,1.0,о.Хершел,10.162674857624152,-4.20951775601599
2012-11-04 11:00:00,71501,-10.8,92.0,1018.582894736842,1018.8495394736842,8.0,292.5,-11.9,69.56666666666666,-138.91666666666666,1.0,о.Хершел,7.391036260090293,-3.06146745892072
2012-11-04 17:00:00,71501,-11.4,91.0,1016.5830592105262,1016.8497039473683,7.0,315.0,-12.6,69.56666666666666,-138.91666666666666,1.0,о.Хершел,4.949747468305834,-4.949747468305832
2012-11-04 23:00:00,71501,-10.8,92.0,1014.0499342105264,1014.3165789473683,5.0,337.5,-11.9,69.56666666666666,-138.91666666666666,1.0,о.Хершел,1.913417161825448,-4.619397662556434
2012-11-05 05:00:00,71501,-11.8,91.0,1013.6499671052632,1013.7832894736842,10.0,315.0,-13.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,7.071067811865477,-7.071067811865474
2012-11-05 11:00:00,71501,-11.8,91.0,1015.2498355263156,1015.3831578947368,12.0,315.0,-13.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,8.485281374238571,-8.485281374238568
2012-11-05 17:00:00,71501,-11.3,91.0,1018.31625,1018.582894736842,14.0,292.5,-12.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,12.934313455158012,-5.35756805311126
2012-11-05 23:00:00,71501,-10.9,92.0,1021.2493421052632,1021.5159868421052,14.0,292.5,-12.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,12.934313455158012,-5.35756805311126
2012-11-06 05:00:00,71501,-11.5,91.0,1023.3825,1023.515822368421,9.0,292.5,-12.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,8.31491579260158,-3.44415089128581
2012-11-06 11:00:00,71501,-13.0,89.0,1025.2490131578948,1025.5156578947367,7.0,292.5,-14.4,69.56666666666666,-138.91666666666666,1.0,о.Хершел,6.467156727579006,-2.67878402655563
2012-11-06 17:00:00,71501,-13.4,89.0,1025.2490131578948,1025.3823355263155,6.0,270.0,-14.8,69.56666666666666,-138.91666666666666,1.0,о.Хершел,6.0,1.102182119232618e-15
2012-11-06 23:00:00,71501,-13.0,90.0,1024.5824013157894,1024.8490460526316,6.0,270.0,-14.3,69.56666666666666,-138.91666666666666,1.0,о.Хершел,6.0,1.102182119232618e-15
2012-11-07 05:00:00,71501,-13.1,89.0,1024.8490460526316,1024.9823684210526,4.0,270.0,-14.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,4.0,7.34788079488412e-16
2012-11-07 11:00:00,71501,-13.6,89.0,1025.1156907894738,1025.2490131578948,5.0,270.0,-15.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,5.0,9.18485099360515e-16
2012-11-07 17:00:00,71501,-13.1,90.0,1025.648980263158,1025.782302631579,6.0,270.0,-14.4,69.56666666666666,-138.91666666666666,1.0,о.Хершел,6.0,1.102182119232618e-15
2012-11-07 23:00:00,71501,-14.0,89.0,1027.1155263157896,1027.3821710526317,3.0,292.5,-15.4,69.56666666666666,-138.91666666666666,1.0,о.Хершел,2.7716385975338595,-1.14805029709527
